	10YQR00FX001XQ02	10YCR00FX001XQ02	10YQR00FX901XQ02
26.09.2012 03:03:00.000	98.8726	98.6520033333333	99.5707366666667
26.09.2012 03:03:10.000	98.8731933333333	98.72146	99.7597666666667
26.09.2012 03:03:20.000	98.9156266666667	98.74392	99.70761
26.09.2012 03:03:30.000	98.9794433333333	98.7602633333333	99.82295
26.09.2012 03:03:40.000	99.0030833333333	98.8256266666667	99.9639733333333
26.09.2012 03:03:50.000	99.0352866666667	98.8644433333333	100.078076666667
26.09.2012 03:04:00.000	99.0353766666667	98.9032566666667	100.03571
26.09.2012 03:04:10.000	99.0515533333333	98.9012133333333	100.22483
26.09.2012 03:04:20.000	99.1372233333333	98.9175633333333	100.30712
26.09.2012 03:04:30.000	99.1045666666667	98.95228	99.5239166666667
26.09.2012 03:04:40.000	99.0688233333333	98.9339033333333	99.62744
26.09.2012 03:04:50.000	99.0413833333333	98.9155266666667	99.6747
26.09.2012 03:05:00.000	99.0249933333333	98.97272	99.8833333333333
26.09.2012 03:05:10.000	99.07251	98.9645333333333	99.7858966666667
26.09.2012 03:05:20.000	99.03308	98.6846833333333	99.7144533333333
26.09.2012 03:05:30.000	99.0462233333333	98.9502366666667	99.7058266666667
26.09.2012 03:05:40.000	99.0810133333333	98.9277766666667	99.7709866666667
26.09.2012 03:05:50.000	99.1159666666667	98.9686266666667	99.9974366666667
26.09.2012 03:06:00.000	99.0705166666667	98.9522933333333	99.9255533333333
26.09.2012 03:06:10.000	99.0816	98.9747566666667	100.03107
26.09.2012 03:06:20.000	99.0922866666667	99.00948	100.059546666667
26.09.2012 03:06:30.000	99.1332033333333	98.9441166666667	99.9095933333333
26.09.2012 03:06:40.000	99.0968033333333	98.92981	100.108796666667
26.09.2012 03:06:50.000	99.10415	98.9175633333333	100.06464
26.09.2012 03:07:00.000	99.1059733333333	98.9768	99.7370033333333
26.09.2012 03:07:10.000	99.0702966666667	98.9625	99.5753333333333
26.09.2012 03:07:20.000	98.9862133333333	98.8889566666667	99.65257
26.09.2012 03:07:30.000	98.97653	98.87671	99.6714933333333
26.09.2012 03:07:40.000	98.95817	98.8807933333333	99.61809
26.09.2012 03:07:50.000	98.9482433333333	98.8338066666667	99.7631333333333
26.09.2012 03:08:00.000	98.9477633333333	98.8399333333333	99.9165766666667
26.09.2012 03:08:10.000	98.98335	98.80725	100.000163333333
26.09.2012 03:08:20.000	98.98549	98.8950833333333	99.8929033333333
26.09.2012 03:08:30.000	98.9787366666667	98.9134766666667	99.7241766666667
26.09.2012 03:08:40.000	98.9802233333333	98.8971366666667	99.76149
26.09.2012 03:08:50.000	98.9758366666667	98.9093833333333	99.81949
26.09.2012 03:09:00.000	98.99196	98.84402	99.6834566666667
26.09.2012 03:09:10.000	98.9607733333333	98.8644433333333	99.7517666666667
26.09.2012 03:09:20.000	98.9294366666667	98.8583166666667	99.8613366666667
26.09.2012 03:09:30.000	98.9868066666667	98.91552	99.8822833333333
26.09.2012 03:09:40.000	99.01513	98.8726233333333	99.6964933333333
26.09.2012 03:09:50.000	98.9962733333333	98.94003	99.8166433333333
26.09.2012 03:10:00.000	98.96958	98.8664966666667	99.9192866666667
26.09.2012 03:10:10.000	98.9833	98.8746666666667	99.8445733333333
26.09.2012 03:10:20.000	98.91871	98.7888766666667	99.6597666666667
26.09.2012 03:10:30.000	98.9689133333333	98.8521966666667	99.6494633333333
26.09.2012 03:10:40.000	98.92255	98.8092933333333	99.6605066666667
26.09.2012 03:10:50.000	98.9270166666667	98.8419766666667	99.6073733333333
26.09.2012 03:11:00.000	98.92531	98.8256266666667	99.46398
26.09.2012 03:11:10.000	98.8795333333333	98.8011233333333	99.5243166666667
26.09.2012 03:11:20.000	98.8771566666667	98.6703766666667	99.6435633333333
26.09.2012 03:11:30.000	98.9309166666667	98.7500666666667	99.71075
26.09.2012 03:11:40.000	98.9096366666667	98.8338066666667	99.7304366666667
26.09.2012 03:11:50.000	98.88431	98.8195133333333	99.7700833333333
26.09.2012 03:12:00.000	98.8946933333333	98.7868066666667	99.6406566666667
26.09.2012 03:12:10.000	98.9265233333333	98.8113433333333	99.7967866666667
26.09.2012 03:12:20.000	98.9133366666667	98.81338	99.4741466666667
26.09.2012 03:12:30.000	98.9122566666667	98.83789	99.5992033333333
26.09.2012 03:12:40.000	98.8858466666667	98.7235033333333	99.4986
26.09.2012 03:12:50.000	98.8996833333333	98.8215566666667	99.5178466666667
26.09.2012 03:13:00.000	98.8736	98.7909033333333	99.6024166666667
26.09.2012 03:13:10.000	98.8971366666667	98.8113433333333	99.63579
26.09.2012 03:13:20.000	98.8670966666667	98.74393	99.7504066666667
26.09.2012 03:13:30.000	98.9153	98.7725266666667	99.7190033333333
26.09.2012 03:13:40.000	98.9044933333333	98.8031566666667	99.88588
26.09.2012 03:13:50.000	98.95633	98.8603766666667	99.782
26.09.2012 03:14:00.000	98.9369633333333	98.93186	99.6852766666667
26.09.2012 03:14:10.000	98.9418933333333	98.8562833333333	99.5528
26.09.2012 03:14:20.000	98.9216633333333	98.8889566666667	99.6517333333333
26.09.2012 03:14:30.000	98.86465	98.8338066666667	99.4542333333333
26.09.2012 03:14:40.000	98.8371166666667	98.7909166666667	99.64581
26.09.2012 03:14:50.000	98.8725166666667	98.7847833333333	99.95139
26.09.2012 03:15:00.000	98.8388833333333	98.70716	99.9452966666667
26.09.2012 03:15:10.000	98.9461266666667	98.8644433333333	100.035416666667
26.09.2012 03:15:20.000	98.92391	98.7868233333333	99.8613266666667
26.09.2012 03:15:30.000	98.8426433333333	98.77661	99.6393866666667
26.09.2012 03:15:40.000	98.7954833333333	98.7296233333333	99.5554433333333
26.09.2012 03:15:50.000	98.7291666666667	98.7459733333333	99.6303633333333
26.09.2012 03:16:00.000	98.74392	98.5212733333333	99.6191
26.09.2012 03:16:10.000	98.7230233333333	98.70511	99.70617
26.09.2012 03:16:20.000	98.6835866666667	98.6152333333333	99.5675033333333
26.09.2012 03:16:30.000	98.7342366666667	98.7194166666667	99.5820466666667
26.09.2012 03:16:40.000	98.74379	98.63566	99.5710366666667
26.09.2012 03:16:50.000	98.68186	98.6254466666667	99.63139
26.09.2012 03:17:00.000	98.6668133333333	98.6315666666667	99.4475333333333
26.09.2012 03:17:10.000	98.6459866666667	98.5866366666667	99.4156666666667
26.09.2012 03:17:20.000	98.6509366666667	98.5682466666667	99.37225
26.09.2012 03:17:30.000	98.67977	98.57438	99.42897
26.09.2012 03:17:40.000	98.6559	98.5948066666667	99.51643
26.09.2012 03:17:50.000	98.72762	98.5621266666667	99.5792233333333
26.09.2012 03:18:00.000	98.65018	98.6213633333333	99.7089366666667
26.09.2012 03:18:10.000	98.6554866666667	98.63566	99.49236
26.09.2012 03:18:20.000	98.64174	98.6295233333333	99.2870433333333
26.09.2012 03:18:30.000	98.5878666666667	98.5805	99.3180666666667
26.09.2012 03:18:40.000	98.61976	98.5805	99.49077
26.09.2012 03:18:50.000	98.64078	98.57233	99.3486733333333
26.09.2012 03:19:00.000	98.6676766666667	98.5927666666667	99.4082833333333
26.09.2012 03:19:10.000	98.6020433333333	98.6152333333333	99.05904
26.09.2012 03:19:20.000	98.6226966666667	98.5703033333333	99.1136
26.09.2012 03:19:30.000	98.68034	98.6295233333333	99.3755133333333
26.09.2012 03:19:40.000	98.6875333333333	98.6458733333333	99.6332933333333
26.09.2012 03:19:50.000	98.6856866666667	98.6152333333333	99.6671633333333
26.09.2012 03:20:00.000	98.6873933333333	98.62954	99.5539466666667
26.09.2012 03:20:10.000	98.7280533333333	98.6683433333333	99.8239
26.09.2012 03:20:20.000	98.73251	98.6806	99.52002
26.09.2012 03:20:30.000	98.7339033333333	98.6479166666667	99.50874
26.09.2012 03:20:40.000	98.7657133333333	98.6785566666667	99.6230566666667
26.09.2012 03:20:50.000	98.7928466666667	98.64384	99.40066
26.09.2012 03:21:00.000	98.7382233333333	98.6315666666667	99.16442
26.09.2012 03:21:10.000	98.6814366666667	98.72146	99.2558433333333
26.09.2012 03:21:20.000	98.74396	98.7091966666667	99.1635
26.09.2012 03:21:30.000	98.6714366666667	98.57233	99.38605
26.09.2012 03:21:40.000	98.68685	98.67243	99.64851
26.09.2012 03:21:50.000	98.7407066666667	98.67243	99.7193033333333
26.09.2012 03:22:00.000	98.7396333333333	98.69694	99.5711266666667
26.09.2012 03:22:10.000	98.7406566666667	98.7235033333333	99.3977533333333
26.09.2012 03:22:20.000	98.7381333333333	98.70512	99.56547
26.09.2012 03:22:30.000	98.7828133333333	98.7092033333333	99.5187733333333
26.09.2012 03:22:40.000	98.76928	98.7337066666667	99.54903
26.09.2012 03:22:50.000	98.7961433333333	98.70511	99.6049166666667
26.09.2012 03:23:00.000	98.79064	98.7623033333333	99.6225333333333
26.09.2012 03:23:10.000	98.80275	98.72553	99.5229733333333
26.09.2012 03:23:20.000	98.7585433333333	98.7521	99.30708
26.09.2012 03:23:30.000	98.7572433333333	98.7623033333333	99.41259
26.09.2012 03:23:40.000	98.7528	98.7684333333333	99.48946
26.09.2012 03:23:50.000	98.80101	98.7398366666667	99.68334
26.09.2012 03:24:00.000	98.74965	98.7275966666667	99.8173833333333
26.09.2012 03:24:10.000	98.80542	98.7602633333333	99.8598633333333
