KKSBusher	KKSNVnpp	name	Unit
12YAS11CT008AXQ1	11JAA31CT761XQ01	ро-1ю	oC
12YAS11CT008BXQ1	11JAA31CT762XQ01	ро-1б	oC
12YAS11CT008CXQ1	11JAA31CT763XQ01	ро-3	oC
12YAS12CT002AXQ1	11JAA31CT764XQ01	ро-1ю	oC
12YAS12CT002BXQ1	11JAA32CT701XQ01	ро-1б	oC
12YAS12CT002CXQ1	11JAA32CT702XQ01	ря ймхр	oC
12YAS21CT008AXQ1	11JAA32CT703XQ01	ро-3	oC
12YAS21CT008BXQ1	11JAA32CT704XQ01	ро-1ю	oC
12YAS21CT008CXQ1	12JAA11CT701XQ01	ро-1б	oC
12YAS22CT002AXQ1	12JAA11CT702XQ01	ро-3	oC
12YAS22CT002BXQ1	12JAA11CT703XQ01	ро-1ю	oC
12YAS22CT002CXQ1	12JAA11CT704XQ01	ро-1б	oC
12YAS31CT008AXQ1	12JAA11CT711XQ01	ря ймхр	oC
12YAS31CT008BXQ1	12JAA11CT712XQ01	ро-3	oC
12YAS31CT008CXQ1	12JAA11CT713XQ01	ро-1ю	oC
12YAS32CT002AXQ1	12JAA11CT714XQ01	ро-1б	oC
12YAS32CT002BXQ1	12JAA11CT721XQ01	ро-3	oC
12YAS32CT002CXQ1	12JAA11CT722XQ01	ро-1ю	oC
12YAS41CT008AXQ1	12JAA11CT723XQ01	ро-1б	oC
12YAS41CT008BXQ1	12JAA11CT724XQ01	ря ймхр	oC
12YAS41CT008CXQ1	12JAA11CT731XQ01	ро-3	oC
12YAS42CT002AXQ1	12JAA11CT732XQ01	ро-1ю	oC
12YAS42CT002BXQ1	12JAA11CT733XQ01	ро-1б	oC
12YAS42CT002CXQ1	12JAA11CT734XQ01	ро-3	oC
12YQS24CT001XQ01	12JAA11CT741XQ01	ро-1ю	oC
12YQS24CT002XQ01	12JAA11CT742XQ01	ро-1б	oC
12YQS24CT003XQ01	12JAA11CT743XQ01	ря ймхр	oC
12YQS24CT004XQ01	12JAA11CT744XQ01	ро-3	oC
12YQS25CT001XQ01	12JAA11CT751XQ01	ро-1ю	oC
12YQS25CT002XQ01	12JAA11CT752XQ01	ро-1б	oC
12YQS25CT003XQ01	12JAA11CT753XQ01	ро-3	oC
12YQS25CT004XQ01	12JAA11CT754XQ01	ро-1ю	oC
12YQS26CT001XQ01	12JAA11CT761XQ01	ро-1б	oC
12YQS26CT002XQ01	12JAA11CT762XQ01	ря ймхр	oC
12YQS26CT003XQ01	12JAA11CT763XQ01	ро-3	oC
12YQS26CT004XQ01	12JAA11CT764XQ01	ро-1ю	oC
12YQS27CT001XQ01	12JAA11CT771XQ01	ро-1б	oC
12YQS27CT002XQ01	12JAA11CT772XQ01	ро-3	oC
12YQS27CT003XQ01	12JAA11CT773XQ01	ро-1ю	oC
12YQS27CT004XQ01	12JAA11CT774XQ01	ро-1б	oC
12YQS28CT001XQ01	12JAA11CT781XQ01	ря ймхр	oC
12YQS28CT002XQ01	12JAA11CT782XQ01	ро-3	oC
12YQS28CT003XQ01	12JAA11CT783XQ01	ро-1ю	oC
12YQS28CT004XQ01	12JAA11CT784XQ01	ро-1б	oC
12YQS29CT001XQ01	12JAA21CT701XQ01	ро-3	oC
12YQS29CT002XQ01	12JAA21CT702XQ01	ро-1ю	oC
12YQS29CT003XQ01	12JAA21CT703XQ01	ро-1б	oC
12YQS29CT004XQ01	12JAA21CT704XQ01	ря ймхр	oC
12YQS30CT001XQ01	12JAA21CT711XQ01	ро-3	oC
12YQS30CT002XQ01	12JAA21CT712XQ01	ро-1ю	oC
12YQS30CT003XQ01	12JAA21CT713XQ01	ро-1б	oC
12YQS30CT004XQ01	12JAA21CT714XQ01	ро-3	oC
12YQS31CT001XQ01	12JAA21CT721XQ01	ро-1ю	oC
12YQS31CT002XQ01	12JAA21CT722XQ01	ро-1б	oC
12YQS31CT003XQ01	12JAA21CT723XQ01	ря ймхр	oC
12YQS31CT004XQ01	12JAA21CT724XQ01	ро-3	oC
12YQS32CT001XQ01	12JAA21CT731XQ01	ро-1ю	oC
12YQS32CT002XQ01	12JAA21CT732XQ01	ро-1б	oC
12YQS32CT003XQ01	12JAA21CT733XQ01	ро-3	oC
12YQS32CT004XQ01	12JAA21CT734XQ01	ро-1ю	oC
12YQS33CT001XQ01	12JAA21CT741XQ01	ро-1б	oC
12YQS33CT002XQ01	12JAA21CT742XQ01	ря ймхр	oC
12YQS33CT003XQ01	12JAA21CT743XQ01	ро-3	oC
12YQS33CT004XQ01	12JAA21CT744XQ01	ро-1ю	oC
12YQS34CT001XQ01	12JAA21CT751XQ01	ро-1б	oC
12YQS34CT002XQ01	12JAA21CT752XQ01	ро-3	oC
12YQS34CT003XQ01	12JAA21CT753XQ01	ро-1ю	oC
12YQS34CT004XQ01	12JAA21CT754XQ01	ро-1б	oC
12YQS35CT001XQ01	12JAA21CT761XQ01	ря ймхр	oC
12YQS35CT002XQ01	12JAA21CT762XQ01	ро-3	oC
12YQS35CT003XQ01	12JAA21CT763XQ01	ро-1ю	oC
12YQS35CT004XQ01	12JAA21CT764XQ01	ро-1б	oC
12YQS36CT001XQ01	12JAA22CT701XQ01	ро-3	oC
12YQS36CT002XQ01	12JAA22CT702XQ01	ро-1ю	oC
12YQS36CT003XQ01	12JAA22CT703XQ01	ро-1б	oC
12YQS36CT004XQ01	12JAA22CT704XQ01	ря ймхр	oC
12YQS37CT001XQ01	12JAA31CT701XQ01	ро-3	oC
12YQS37CT002XQ01	12JAA31CT702XQ01	ро-1ю	oC
12YQS37CT003XQ01	12JAA31CT703XQ01	ро-1б	oC
12YQS37CT004XQ01	12JAA31CT704XQ01	ро-3	oC
12YQS38CT001XQ01	12JAA31CT711XQ01	ро-1ю	oC
12YQS38CT002XQ01	12JAA31CT712XQ01	ро-1б	oC
